API Name,Linux On Demand cost,RHEL On Demand cost,SLES On Demand cost,Windows On Demand cost,Windows SQL Web On Demand cost,Windows SQL Std On Demand cost,Windows SQL Ent On Demand cost,Linux SQL Web On Demand cost,Linux SQL Std On Demand cost,Linux SQL Ent On Demand cost
m1.small,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m1.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m2.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m2.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m2.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m3.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m3.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m3.medium,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m3.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m4.10xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m4.16xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m4.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m4.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m4.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m4.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5.12xlarge,2.904,3.034,3.004,5.112,5.923,10.872,23.112,3.715,8.664,20.904
m5.16xlarge,3.872,4.002,3.972,6.816,7.898,14.496,30.816,4.954,11.552,27.872
m5.24xlarge,5.808,5.938,5.908,10.224,11.846,21.744,46.224,7.43,17.328,41.808
m5.2xlarge,0.484,0.614,0.584,0.852,0.987,1.812,3.852,0.619,1.444,3.484
m5.4xlarge,0.968,1.098,1.068,1.704,1.974,3.624,7.704,1.238,2.888,6.968
m5.8xlarge,1.936,2.066,2.036,3.408,3.949,7.248,15.408,2.477,5.776,13.936
m5.large,0.121,0.181,0.221,0.213,0.281,0.693,unavailable,0.189,0.601,unavailable
m5.metal,5.808,5.938,5.908,10.224,11.846,21.744,46.224,7.43,17.328,41.808
m5.xlarge,0.242,0.302,0.342,0.426,0.494,0.906,1.926,0.31,0.722,1.742
m5a.12xlarge,2.616,2.746,2.766,4.824,5.635,10.584,22.824,3.427,8.376,20.616
m5a.16xlarge,3.488,3.618,3.638,6.432,7.514,14.112,30.432,4.57,11.168,27.488
m5a.24xlarge,5.232,5.362,5.382,9.648,11.27,21.168,45.648,6.854,16.752,41.232
m5a.2xlarge,0.436,0.566,0.586,0.804,0.939,1.764,3.804,0.571,1.396,3.436
m5a.4xlarge,0.872,1.002,1.022,1.608,1.878,3.528,7.608,1.142,2.792,6.872
m5a.8xlarge,1.744,1.874,1.894,3.216,3.757,7.056,15.216,2.285,5.584,13.744
m5a.large,0.109,0.169,0.172,0.201,0.269,0.681,unavailable,0.177,0.589,unavailable
m5a.xlarge,0.218,0.278,0.343,0.402,0.47,0.882,1.902,0.286,0.698,1.718
m5ad.12xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5ad.24xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5ad.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5ad.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5ad.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5ad.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5d.12xlarge,3.432,3.562,3.532,5.64,6.451,11.4,23.64,4.243,9.192,21.432
m5d.16xlarge,4.576,4.706,4.676,7.52,8.602,15.2,31.52,5.658,12.256,28.576
m5d.24xlarge,6.864,6.994,6.964,11.28,12.902,22.8,47.28,8.486,18.384,42.864
m5d.2xlarge,0.572,0.702,0.672,0.94,1.075,1.9,3.94,0.707,1.532,3.572
m5d.4xlarge,1.144,1.274,1.244,1.88,2.15,3.8,7.88,1.414,3.064,7.144
m5d.8xlarge,2.288,2.418,2.388,3.76,4.301,7.6,15.76,2.829,6.128,14.288
m5d.large,0.143,0.203,0.243,0.235,0.303,0.715,unavailable,0.211,0.623,unavailable
m5d.metal,6.864,6.994,6.964,11.28,12.902,22.8,47.28,8.486,18.384,42.864
m5d.xlarge,0.286,0.346,0.386,0.47,0.538,0.95,1.97,0.354,0.766,1.786
m5dn.12xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5dn.16xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5dn.24xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5dn.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5dn.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5dn.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5dn.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5dn.metal,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5dn.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5n.12xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5n.16xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5n.24xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5n.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5n.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5n.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5n.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5n.metal,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
m5n.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
p2.16xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
p2.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
p2.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
p3.16xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
p3.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
p3.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
p3dn.24xlarge,37.454,37.584,37.604,41.87,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r3.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r3.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r3.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r3.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r3.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r4.16xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r4.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r4.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r4.8xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r4.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r4.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5.12xlarge,3.624,3.754,3.774,5.832,6.643,11.592,23.832,4.435,9.384,21.624
r5.16xlarge,4.832,4.962,4.982,7.776,8.858,15.456,31.776,5.914,12.512,28.832
r5.24xlarge,7.248,7.378,7.398,11.664,13.286,23.184,47.664,8.87,18.768,43.248
r5.2xlarge,0.604,0.734,0.754,0.972,1.107,1.932,3.972,0.739,1.564,3.604
r5.4xlarge,1.208,1.338,1.358,1.944,2.214,3.864,7.944,1.478,3.128,7.208
r5.8xlarge,2.416,2.546,2.566,3.888,4.429,7.728,15.888,2.957,6.256,14.416
r5.large,0.151,0.211,0.214,0.243,0.311,0.723,unavailable,0.219,0.631,unavailable
r5.metal,7.248,7.378,7.398,11.664,13.286,23.184,47.664,8.87,18.768,43.248
r5.xlarge,0.302,0.362,0.427,0.486,0.554,0.966,1.986,0.37,0.782,1.802
r5a.12xlarge,3.264,3.394,3.414,5.472,6.283,11.232,23.472,4.075,9.024,21.264
r5a.16xlarge,4.352,4.482,4.502,7.296,8.378,14.976,31.296,5.434,12.032,28.352
r5a.24xlarge,6.528,6.658,6.678,10.944,12.566,22.464,46.944,8.15,18.048,42.528
r5a.2xlarge,0.544,0.674,0.694,0.912,1.047,1.872,3.912,0.679,1.504,3.544
r5a.4xlarge,1.088,1.218,1.238,1.824,2.094,3.744,7.824,1.358,3.008,7.088
r5a.8xlarge,2.176,2.306,2.326,3.648,4.189,7.488,15.648,2.717,6.016,14.176
r5a.large,0.136,0.196,0.199,0.228,0.296,0.708,unavailable,0.204,0.616,unavailable
r5a.xlarge,0.272,0.332,0.397,0.456,0.524,0.936,1.956,0.34,0.752,1.772
r5ad.12xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5ad.24xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5ad.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5ad.4xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5ad.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5ad.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
r5d.12xlarge,4.152,4.282,4.302,6.36,7.171,12.12,24.36,4.963,9.912,22.152
r5d.16xlarge,5.536,5.666,5.686,8.48,9.562,16.16,32.48,6.618,13.216,29.536
r5d.24xlarge,8.304,8.434,8.454,12.72,14.342,24.24,48.72,9.926,19.824,44.304
r5d.2xlarge,0.692,0.822,0.842,1.06,1.195,2.02,4.06,0.827,1.652,3.692
